tiempo,valor,unidad,codigo_indicador,nombre_indicador,codigo_region,nombre_region,fuente
2024,62.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Montenegro,Wikipedia
2024,70.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Morocco,Wikipedia
2024,96.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Mozambique,Wikipedia
2024,58.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Myanmar,Wikipedia
2024,65.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Namibia,Wikipedia
2024,23.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Nauru,Wikipedia
2024,43.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Nepal,Wikipedia
2024,47.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Netherlands,Wikipedia
2024,47.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,New Zealand,Wikipedia
2024,39.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Nicaragua,Wikipedia
2024,48.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Niger,Wikipedia
2024,46.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Nigeria,Wikipedia
2024,54.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,North Macedonia,Wikipedia
2024,38.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Norway,Wikipedia
2024,35.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Oman,Wikipedia
2024,71.8,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Pakistan,Wikipedia
2024,80.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Palau,Wikipedia
2024,54.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Panama,Wikipedia
2024,52.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Papua New Guinea,Wikipedia
